window,hold,sharpe,d_sharpe,ci_lo,ci_hi,verdict
LBMA 58y,5,0.7243647166817702,-0.004459246050020238,-0.07374675387123165,0.06466094168689701,not distinguishable
LBMA 58y,10,0.7095972788729927,-0.019226683858797666,-0.11956412448813676,0.07858375017223301,not distinguishable
LBMA 58y,20,0.6616076141830375,-0.06721634854875291,-0.19938153227676575,0.06775915754541809,not distinguishable
LBMA 58y,30,0.7245263690973808,-0.004297593634409624,-0.1481582567347233,0.13417382370743242,not distinguishable
LBMA 58y,60,0.5654273796748862,-0.1633965830569042,-0.3303095800359821,0.006727668190108774,not distinguishable
GLD 22y,5,0.6688498004955482,-0.0005570788198104859,-0.10697990505124508,0.11059949671080185,not distinguishable
GLD 22y,10,0.693208475857064,0.023801596541705328,-0.137477272421134,0.1773925132295892,not distinguishable
GLD 22y,20,0.8121228294074642,0.14271595009210547,-0.05146220491120647,0.3409532036175596,not distinguishable
GLD 22y,30,0.6932570803380994,0.023850201022740714,-0.22325724522173312,0.27175452353816243,not distinguishable
GLD 22y,60,0.7335054911490879,0.06409861183372922,-0.20526208932189974,0.33691825593623176,not distinguishable
